MCEID;CENTREID;MCE_TYPE;USE_RAND36;USE_HONOS;USE_HONOSCA;MCE_STATUS;MCE_UPDATEDBY;MCE_UPDATED;HAS_END_REG;CONTROL_DATE;MCE_COMMENT;PATREG_COMPLETE;MCE_COMPLETE;THERREG_COMPLETE;PATIENT_ID;SSN;LASTNAME;FIRSTNAME;GENDER;AGE;PB_STATUS;PB_UPDATED;PB_UPDATEDBY;PB_COMMENT;EDEQ60_STATUS;EDEQ60_UPDATED;EDEQ60_UPDATEDBY;EDEQ60_COMMENT;SDQ_STATUS;SDQ_UPDATED;SDQ_UPDATEDBY;SDQ_COMMENT;SDQPARENT_STATUS;SDQPARENT_UPDATED;SDQPARENT_UPDATEDBY;SDQPARENT_COMMENT;HONOS_STATUS;HONOS_UPDATED;HONOS_UPDATEDBY;HONOS_COMMENT;HONOSCA_STATUS;HONOSCA_UPDATED;HONOSCA_UPDATEDBY;HONOSCA_COMMENT;CIA30_STATUS;CIA30_UPDATED;CIA30_UPDATEDBY;CIA30_COMMENT;RAND36_STATUS;RAND36_UPDATED;RAND36_UPDATEDBY;RAND36_COMMENT;SCL90_STATUS;SCL90_UPDATED;SCL90_UPDATEDBY;SCL90_COMMENT;DIAG_STATUS;DIAG_UPDATED;DIAG_UPDATEDBY;DIAG_COMMENT;BUPDIAG_STATUS;BUPDIAG_UPDATED;BUPDIAG_UPDATEDBY;BUPDIAG_COMMENT;MEDINF_STATUS;MEDINF_UPDATED;MEDINF_UPDATEDBY;MEDINF_COMMENT;PASOPP_STATUS;PASOPP_UPDATED;PASOPP_UPDATEDBY;PASOPP_COMMENT;PATEVAL_STATUS;PATEVAL_UPDATED;PATEVAL_UPDATEDBY;PATEVAL_COMMENT;KIDSCREEN_STATUS;KIDSCREEN_UPDATED;KIDSCREEN_UPDATEDBY;KIDSCREEN_COMMENT;INTERVENTION_STATUS;INTERVENTION_UPDATED;INTERVENTION_UPDATEDBY;INTERVENTION_COMMENT
24;TESTNO;3;TRUE;TRUE;TRUE;1;CC;'2016-04-29 16:03:47';0;'2016-03-02';;1;1;1;15;3QAFGcelQtQ=;dlEGNcKcK6s=;f4Wg+4dQkecc9s+Ju0uXLg==;2;23;1;'2016-07-07 12:11:46';LC;;1;'2016-07-07 12:14:07';LC;;;;;;;;;;1;'2016-07-07 12:16:28';LC;;;;;;1;'2016-06-02 12:47:23';LC;2;1;'2016-07-07 12:13:11';LC;;1;'2016-07-07 12:12:13';LC;;;;;;;;;;1;'2016-07-07 12:15:32';LC;;;;;;;;;;;;;;;;;
28;TESTNO;3;TRUE;TRUE;TRUE;1;CC;'2016-05-02 10:29:24';1;'2016-04-29';;-1;-1;-1;16;4kTA1w8d9mk=;a2KpdAKr+zI=;7s0uRZCIhzA=;2;21;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;1;'2016-07-11 11:33:02';LC;Gjerne ikke rør denne utfyllingen. Testdata til NSP-80. ;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
29;TESTNO;5;TRUE;TRUE;TRUE;0;CC;'2016-05-02 12:11:37';0;'2016-05-01';;-1;-1;0;16;4kTA1w8d9mk=;a2KpdAKr+zI=;7s0uRZCIhzA=;2;21;;;;;0;'2016-06-20 13:52:41';LU;;;;;;;;;;1;'2016-07-04 14:54:23';LU;;;;;;1;'2016-07-11 14:14:58';LC;Gjerne ikke rør denne utfyllingen. Testdata til NSP-80. ;-1;;;;-1;;;;0;'2016-05-02 13:23:53';openqreg;;;;;;0;'2016-05-03 12:38:31';SC;;0;'2016-05-12 09:31:30';CC;;0;'2016-05-03 12:38:16';SC;;;;;;0;'2016-07-01 10:54:56';LC;
42;TESTNO;1;TRUE;TRUE;TRUE;1;CC;'2016-05-04 15:43:18';0;'2016-03-31';;-1;-1;-1;24;q/CqvNXqb0U=;i2pTObbraN0q9x/dMXwCHATC2BY7lsoy;jHO5u0lg2Wc61OYu/1NiXA==;2;29;0;'2016-07-11 08:28:26';LC;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;1;'2016-07-12 12:42:11';LC;Testcase i NSP-54. ;0;'2016-06-27 10:41:25';LC;;;;;;-1;;;;;;;;;;;;;;;;;;;
43;TESTNO;3;TRUE;TRUE;TRUE;1;CC;'2016-05-04 15:50:26';0;'2016-05-02';;-1;-1;-1;25;qxtnUoz6MZs=;GoSNJblq5pwxsLli+FBKxA==;NAx44wdxuyo=;1;42;0;'2016-05-04 15:50:33';CC;;-1;;;;;;;;;;;;1;'2016-06-28 09:41:31';LC;;;;;;0;'2016-06-21 14:58:35';LC;;-1;;;;1;'2016-07-12 12:35:11';RC;Testcase i sak NSP-54. ;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
45;TESTNO2;1;TRUE;;;1;LU2;'2016-05-10 09:33:56';0;'2016-03-01';;0;0;0;26;yg3Dt2A4BxPK+G3YoK+Uhg==;9pMM2U1uwfk=;+/t5nQTYSQU=;2;36;0;'2016-05-10 09:34:24';LU2;;0;'2016-05-10 09:35:33';LU2;;;;;;;;;;;;;;;;;;0;'2016-05-10 09:35:45';LU2;;0;'2016-05-10 09:35:09';LU2;;0;'2016-05-10 09:34:43';LU2;;0;'2016-05-10 09:36:39';LU2;;;;;;0;'2016-05-10 09:36:52';LU2;;;;;;;;;;;;;;;;;
48;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-05-11 13:56:00';0;'2016-05-03';;1;1;1;27;YcM0/LDAids=;fm7NmYpNmVc=;W4puROCzQlWXR4UTI61/IQ==;2;34;1;'2016-05-11 13:57:23';LC;;1;'2016-05-11 13:59:32';LC;;;;;;;;;;1;'2016-05-11 14:00:41';LC;;;;;;1;'2016-05-11 13:59:42';LC;2;1;'2016-05-11 13:58:44';LC;;1;'2016-05-11 13:58:05';LC;;;;;;;;;;1;'2016-05-11 14:00:08';LC;;;;;;;;;;;;;;;;;
54;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-05-25 10:55:53';1;'2016-05-03';;-1;-1;-1;30;MunZAR1fssA=;4kiY7HZ+GFM=;YG7LSWaIBbs=;1;40;-1;;;;-1;;;;;;;;;;;;0;'2016-06-24 11:31:34';LC;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
55;TESTNO;5;TRUE;TRUE;TRUE;1;LC;'2016-05-25 10:57:37';0;'2016-05-25';;1;0;0;30;MunZAR1fssA=;4kiY7HZ+GFM=;YG7LSWaIBbs=;1;40;;;;;1;'2016-05-25 15:47:28';LU;;;;;;;;;;1;'2016-05-25 15:44:51';LU;;;;;;1;'2016-05-25 15:47:41';LU;1;1;'2016-05-25 15:46:54';LU;2;1;'2016-05-25 15:46:20';LU;;1;'2016-05-25 15:43:51';LU;;;;;;1;'2016-05-25 15:44:21';LU;;1;'2016-06-28 15:56:45';CC3;;1;'2016-05-25 15:51:22';LU;;;;;;0;'2016-06-14 10:20:38';CC;
56;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-05-25 10:59:17';0;'2016-05-04';;-1;-1;-1;31;H/HjEJ9pK4A=;t6+34ty8b0w=;EF5UlFcdJ7JM+qqV0SS0Lg==;2;35;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;1;'2016-06-09 14:08:02';LC;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
59;TESTNO;1;TRUE;TRUE;TRUE;1;LU;'2016-06-01 13:26:40';0;'2016-06-01';;1;1;1;33;uDzYHy/74+E=;G99Et4abBSg=;uqG7luVAlM35MDUfTF5J8w==;2;15;1;'2016-06-01 13:32:12';LU;test-kommentar;1;'2016-06-01 14:00:16';LU;;;;;;;;;;1;'2016-06-01 14:13:40';LU;Øvrig internkommentar test;;;;;1;'2016-06-01 14:14:20';LU;;1;'2016-06-01 14:14:10';LU;;1;'2016-06-01 13:39:00';LU;test øvrig kommentar;1;'2016-06-01 14:14:27';LU;;;;;;1;'2016-06-01 14:15:46';LU;;;;;;;;;;;;;;;;;
66;TESTNO2;3;TRUE;;;1;LC2;'2016-06-09 10:56:14';1;'2016-06-01';;1;1;1;40;YseaKkIH+Uk=;TKa657GQ4kHIXwu3Y/IDQA==;g03jUTKr1bE=;2;88;1;'2016-07-06 16:04:39';LC2;;1;'2016-07-06 16:06:36';LC2;;;;;;;;;;;;;;;;;;1;'2016-07-06 16:06:55';LC2;;1;'2016-07-06 16:05:55';LC2;;1;'2016-07-06 16:05:11';LC2;;;;;;;;;;1;'2016-07-06 16:07:25';LC2;;;;;;;;;;;;;;;;;
68;TESTNO2;5;TRUE;;;1;LC2;'2016-07-06 16:22:05';0;'2016-07-06';;1;0;0;40;YseaKkIH+Uk=;TKa657GQ4kHIXwu3Y/IDQA==;g03jUTKr1bE=;2;88;;;;;1;'2016-07-06 16:24:08';LC2;;;;;;;;;;;;;;;;;;1;'2016-07-06 16:24:23';LC2;;1;'2016-07-06 16:23:36';LC2;;1;'2016-07-07 11:16:36';CC;;1;'2016-07-06 16:25:20';LC2;;;;;;1;'2016-07-06 16:25:46';LC2;;1;'2016-07-06 16:24:40';LC2;;1;'2016-07-06 16:24:56';LC2;;;;;;0;'2016-07-06 16:26:46';LC2;
74;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-06-14 14:39:23';0;'2016-06-01';;1;1;1;46;yX3aLlgCH4A=;HRWnEQfLjmySSrFpIyjynQ==;/99Ul3UUBs9ls/2PY3aSDeP+p3JAc/S1;2;39;1;'2016-07-06 08:25:58';CC;;1;'2016-06-14 15:06:41';LU;0;;;;;;;;;1;'2016-06-14 15:04:48';LU;;;;;;1;'2016-06-14 15:06:46';LU;;1;'2016-06-14 15:06:33';LU;;1;'2016-07-06 08:25:47';CC;;;;;;;;;;1;'2016-06-14 15:07:41';LU;;;;;;;;;;;;;;;;;
79;TESTNO;1;TRUE;TRUE;TRUE;1;LU;'2016-06-15 14:13:25';0;'2016-06-01';;-1;-1;-1;49;/Umb3ezF7hM=;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;-1;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
83;TESTNO;1;TRUE;TRUE;TRUE;1;LU;'2016-06-16 08:32:33';0;'2016-06-16';;0;-1;-1;53;paMltAANGC4=;CTYZurEIaEYtRqR0ip6ONA==;DRsTpZFcGm6uVaqM6H+1kQ==;2;16;0;'2016-06-16 08:36:25';LU;;0;'2016-06-16 08:36:38';LU;;;;;;;;;;-1;;;;;;;;0;'2016-06-16 08:40:17';LU;;0;'2016-06-16 08:36:35';LU;;0;'2016-06-16 08:36:31';LU;;0;'2016-06-16 08:36:46';LU;;;;;;0;'2016-06-16 08:39:04';LU;;;;;;;;;;;;;;;;;
95;TESTNO;1;TRUE;TRUE;TRUE;1;LU;'2016-06-28 10:26:27';0;'2016-06-28';;0;0;0;38;J+yh1xg04Z4=;fnyBD5v1pS8=;25QJPulPq/e99ZaCU5nV+A==;1;9;0;'2016-06-28 10:26:46';LU;;0;'2016-06-28 10:27:46';LU;;;;;;;;;;0;'2016-06-28 10:28:58';LU;;;;;;0;'2016-06-28 10:27:49';LU;;0;'2016-06-28 10:27:40';LU;;0;'2016-06-28 10:27:33';LU;;0;'2016-06-28 10:27:53';LU;;;;;;0;'2016-06-28 10:28:07';LU;;;;;;;;;;;;;;;;;
104;TESTNO;1;TRUE;TRUE;TRUE;1;LU;'2016-06-29 10:01:44';0;'2016-06-29';;-1;-1;-1;72;Mm2nxMM3Cow=;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;0;'2016-06-29 10:01:53';LU;;-1;;;;-1;;;;-1;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
107;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-06-29 10:05:00';0;'2016-06-01';;-1;-1;-1;74;huOV1Qf+CCg=;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
108;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-06-29 10:09:41';0;'2016-06-01';;-1;-1;-1;75;9fFw9EMy+oU=;;;;;0;'2016-06-29 10:09:57';LU;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
109;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-06-29 10:10:49';1;'2016-06-01';;-1;-1;-1;76;F5CN158xojU=;lkaa+WJCy8k=;bFnRAKdzXVE=;1;37;0;'2016-06-29 10:11:09';LU;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
110;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-06-29 10:12:18';0;'2016-06-01';;-1;-1;-1;77;Bchv9YbJdB8=;fm7NmYpNmVc=;Gr7ArTF/dSE=;2;38;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
111;TESTNO;5;TRUE;TRUE;TRUE;1;LU;'2016-06-29 10:13:58';0;'2016-06-29';;-1;-1;-1;76;F5CN158xojU=;lkaa+WJCy8k=;bFnRAKdzXVE=;1;37;;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;-1;;;;;;;;-1;;;;-1;;;;0;'2016-06-29 10:15:11';LU;;;;;;0;'2016-07-14 15:47:15';LC;
115;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-07-01 08:31:17';0;'2016-07-01';;-1;-1;-1;80;7wclBdJExpY=;mSdRpXtfBZNO9n3Ag0aATg==;2bzaQMcCJdfRN8pcaKJ2Qw==;1;68;0;'2016-07-01 08:52:04';LC;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
117;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-07-01 10:18:42';0;'2016-07-01';;-1;-1;-1;81;FHq7jQU7lWA=;dEkyTQzXTh0=;uxe3C/F8+2M=;1;94;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
118;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-07-01 10:26:31';0;'2016-07-01';;0;0;0;82;/skypdO4B48=;9bO+iGYfK7FgdgXzIdcY3A==;fWhK1AyAzTQ=;2;37;0;'2016-07-01 10:27:17';LC;;0;'2016-07-01 10:27:36';LC;;;;;;;;;;0;'2016-07-01 10:30:14';LC;;;;;;0;'2016-07-01 10:27:39';LC;;0;'2016-07-01 10:27:29';LC;;0;'2016-07-01 10:27:25';LC;;;;;;;;;;0;'2016-07-01 10:29:57';LC;;;;;;;;;;;;;;;;;
119;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-07-01 12:38:55';0;'2016-07-01';;0;0;0;83;BstueomGPA0=;Eu4ESy1fPGU=;W4puROCzQlWXR4UTI61/IQ==;2;59;0;'2016-07-01 12:40:34';LC;;0;'2016-07-01 12:41:45';LC;;;;;;;;;;0;'2016-07-01 12:43:15';LC;;;;;;0;'2016-07-01 12:42:03';LC;;0;'2016-07-01 12:41:23';LC;;0;'2016-07-01 12:41:06';LC;;;;;;;;;;0;'2016-07-01 12:42:37';LC;;;;;;;;;;;;;;;;;
120;TESTNO;3;TRUE;TRUE;TRUE;1;LC;'2016-07-04 09:18:29';0;'2016-07-04';;-1;-1;-1;84;IGh8vAHu5c4=;tlHR8/kh+kU=;pmmlYKx/8HK7CZ+G1c675g==;2;76;0;'2016-07-04 09:18:39';LC;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
122;TESTNO;1;TRUE;TRUE;TRUE;1;LC;'2016-07-04 09:27:45';0;'2016-07-04';;0;-1;-1;8;wTcd9ng7z0c=;8iClNhCEqKckgnpV9yfKmg==;VJ2u/nYZxao=;2;20;0;'2016-07-08 09:27:13';LC;;0;'2016-07-08 09:27:33';LC;;;;;;;;;;-1;;;;;;;;0;'2016-07-08 09:27:36';LC;;0;'2016-07-08 09:27:30';LC;;0;'2016-07-08 09:27:26';LC;;-1;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
125;TESTNO;1;TRUE;TRUE;TRUE;1;LU;'2016-07-04 15:21:31';0;'2016-07-01';;-1;-1;-1;88;s3NHA4VMRAY=;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;-1;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
127;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-07-04 15:25:35';0;'2016-07-04';;-1;-1;-1;89;G9niKU3yWl4=;wH7+xcrKFyg=;ZevBVDa8kMXkecp60VJ4GA==;2;92;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
130;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-07-04 15:29:32';0;'2016-07-04';;-1;-1;-1;90;b64C1YrRrr8=;RTQkJxYvTtAVPCwAoIgpkg==;a3Ul3CZf9ik=;1;38;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
132;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-07-04 15:34:46';0;'2016-06-15';;-1;-1;-1;91;FGOvaFcpgXU=;;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
138;TESTNO2;3;TRUE;;;1;LU2;'2016-07-07 11:39:14';0;'2016-05-05';;-1;-1;-1;95;uCOxgEPjn7k=;d5DNE0dRTFccaq+IUNs3WQ==;m9JX4zb1cto=;2;17;1;'2016-07-07 11:41:07';LU2;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;-1;;;;1;'2016-07-07 11:41:34';LU2;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
159;TESTNO;3;TRUE;TRUE;TRUE;1;LU;'2016-07-12 12:56:11';0;'2016-07-12';;-1;-1;-1;113;fu0E10b2smM=;4ZdVvXI5N/M8RSkAQtE91Q==;RXC8gFl5giA=;1;33;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;0;'2016-07-12 12:56:21';LU;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
166;TESTNO2;3;TRUE;;;1;LU2;'2016-07-12 13:05:21';0;'2016-07-06';;-1;-1;0;120;yKoW7kPsY4c=;ku4ERGu70B4=;V5ShDYJKzCEdnFO0KNB8wQ==;1;71;-1;;;;-1;;;;;;;;;;;;;;;;;;;;0;'2016-07-12 13:05:26';LU2;;-1;;;;-1;;;;;;;;;;;;0;'2016-07-12 13:05:47';LU2;;;;;;;;;;;;;;;;;
176;TESTNO2;3;TRUE;;;1;LU2;'2016-08-11 15:31:13';0;'2016-08-11';;-1;-1;-1;124;oQr3QV4TqNA=;gTtY1jrWJ5M=;d7+tvZ9oaUo=;1;41;-1;;;;-1;;;;;;;;;;;;;;;;;;;;-1;;;;-1;;;;-1;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;
